date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:11:12	14680/14680	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2003:29:52%20GMT	http://www.mi.com/in/hdindex/openbuy/	C:/My%20Web%20Sites/mi/www.mi.com/in/hdindex/openbuy/index.html	(from )
19:11:12	218/218	---M--	200	added ('OK')	text/plain	etag:%2257be5788-da%22	http://www.mi.com/robots.txt		(from )
19:11:14	52012/52012	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Jun%202017%2011:04:21%20GMT	http://s01.appmifile.com/css/in/openbuy/index.css?d0dd1eb	C:/My%20Web%20Sites/mi/s01.appmifile.com/css/in/openbuy/indexdf94.css	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:14	1101/1101	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Dec%202015%2014:00:38%20GMT	http://global.mifile.cn/webfile/globalimg/en/open/in/icon-mi4i-white.png	C:/My%20Web%20Sites/mi/global.mifile.cn/webfile/globalimg/en/open/in/icon-mi4i-white.png	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:26	65841/65841	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-aj-pJUOE1qLlb%22	http://i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/2.jpg	C:/My%20Web%20Sites/mi/i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/2.jpg	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:32	163163/163163	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Dec%202017%2012:03:27%20GMT	http://i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/1.jpg	C:/My%20Web%20Sites/mi/i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/1.jpg	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:42	139195/139195	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Dec%202017%2012:03:27%20GMT	http://i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/4.jpg	C:/My%20Web%20Sites/mi/i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/4.jpg	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:43	165226/165226	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2003%20Aug%202017%2003:54:56%20GMT	http://s01.appmifile.com/js/in/openbuy/index.js?6660da9	C:/My%20Web%20Sites/mi/s01.appmifile.com/js/in/openbuy/index9184.js	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:44	220172/220172	---M-Z	200	added ('OK')	application/x-javascript	etag:%222173addad59f5fc96b338393c17b8702%22	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/mi/connect.facebook.net/en_US/sdk.js	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2013%20Apr%202018%2013:41:49%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/mi/www.googletagmanager.com/gtm.a5445.delayed	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:47	17292/17292	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Jun%202017%2002:51:15%20GMT	http://s01.appmifile.com/stat/xmst-sg.js	C:/My%20Web%20Sites/mi/s01.appmifile.com/stat/xmst-sg.js	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:51	122625/122625	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Dec%202017%2012:03:29%20GMT	http://i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/5.jpg	C:/My%20Web%20Sites/mi/i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/5.jpg	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:53	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/mi/www.google-analytics.com/analytics.js	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:54	248222/248222	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Dec%202017%2012:03:27%20GMT	http://i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/3.jpg	C:/My%20Web%20Sites/mi/i01.appmifile.com/webfile/globalimg/in/pcfrontpage/bigtap/3.jpg	(from http://www.mi.com/in/hdindex/openbuy/)
19:11:58	258/258	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Apr%202018%2013:42:00%20GMT	http://www.mi.com/in/hdindex/openbuy/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/My%20Web%20Sites/mi/www.mi.com/in/hdindex/openbuy/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/en_US/sdk.js)
19:11:58	258/258	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Apr%202018%2013:42:00%20GMT	http://www.mi.com/in/hdindex/openbuy/^([^:/?	C:/My%20Web%20Sites/mi/www.mi.com/in/hdindex/openbuy/^([^_/indexd41d.html	(from http://connect.facebook.net/en_US/sdk.js)
19:11:58	258/258	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Apr%202018%2013:42:00%20GMT	http://www.mi.com/in/hdindex/openbuy/dialog/	C:/My%20Web%20Sites/mi/www.mi.com/in/hdindex/openbuy/dialog/index.html	(from http://connect.facebook.net/en_US/sdk.js)
